txn_id,date,from_clabe,to_clabe,amount,reference,channel
BNK-00160,2026-03-05,646180000006704697,646180000007338211,50379.96,Pago factura INV-00324,SPEI
BNK-00093,2026-05-03,646180000006704697,646180000007734161,69380.76,Pago factura INV-00249,SPEI
BNK-00172,2026-05-19,646180000006704697,646180000010347435,86877.04,Pago factura INV-00292,SPEI
BNK-00151,2026-01-12,646180000006704697,646180000006783883,14233.20,Pago factura INV-00138,SPEI
BNK-00062,2026-02-05,646180000006704697,646180000007100643,14203.04,Pago factura INV-00156,SPEI
BNK-00374,2026-02-15,646180000006704697,646180000006942268,49996.00,Pago factura INV-00361,SPEI
BNK-00308,2026-05-22,646180000006704697,646180000010347435,82971.32,Pago factura INV-00323,SPEI
BNK-00253,2026-01-22,646180000006704697,646180000007021450,87414.12,Pago factura INV-00336,SPEI
BNK-00336,2026-03-10,646180000006704697,646180000007338211,58624.08,Pago factura INV-00329,SPEI
BNK-00005,2026-05-28,646180000006704697,646180000010426628,67071.20,Pago factura INV-00066,SPEI
BNK-00197,2026-06-02,646180000006704697,646180000007971733,105152.84,Pago factura INV-00284,SPEI
BNK-00293,2026-02-08,646180000006704697,646180000008367689,102431.48,Pago factura INV-00372,SPEI
BNK-00058,2026-06-15,646180000006704697,646180000009317968,70312.24,Pago factura INV-00046,SPEI
BNK-00180,2026-03-18,646180000006704697,646180000009872296,47326.84,Pago factura INV-00015,SPEI
BNK-00030,2026-03-28,646180000006704697,646180000007496593,58169.36,Pago factura INV-00317,SPEI
BNK-00128,2026-06-20,646180000006704697,646180000010585006,55061.72,Pago factura INV-00047,SPEI
BNK-00011,2026-05-06,646180000006704697,646180000010268242,104481.20,Pago factura INV-00214,SPEI
BNK-00211,2026-03-12,646180000006704697,646180000006783883,14233.20,Pago factura INV-00365,SPEI
BNK-00069,2026-02-08,646180015844704695,646180000006704697,44080.00,Cobro factura INV-00112,SPEI
BNK-00294,2026-04-02,646180000006704697,646180000007496593,83423.72,Pago factura INV-00322,SPEI
BNK-00210,2026-02-02,646180000006704697,646180000007100643,57866.60,Pago factura INV-00100,SPEI
BNK-00096,2026-05-13,646180000006704697,646180000009080392,93984.36,Pago factura INV-00356,SPEI
BNK-00300,2026-03-01,646180000006704697,646180000009793100,20129.48,Pago factura INV-00017,SPEI
BNK-00094,2026-02-17,646180000006704697,646180000008446872,74260.88,Pago factura INV-00141,SPEI
BNK-00257,2026-02-17,646180000006704697,646180000007179836,75255.00,Pago factura INV-00179,SPEI
BNK-00117,2026-05-30,646180000006704697,646180000009159582,45292.20,Pago factura INV-00040,SPEI
BNK-00166,2026-02-19,646180000006704697,646180000009713915,28598.64,Pago factura INV-00081,SPEI
BNK-00269,2026-04-29,646180000006704697,646180000007734161,53260.24,Pago factura INV-00008,SPEI
BNK-00025,2026-03-23,646180000006704697,646180000008684443,66135.08,Pago factura INV-00018,SPEI
BNK-00208,2026-04-18,646180000006704697,646180000010109864,53607.08,Pago factura INV-00260,SPEI
BNK-00137,2026-02-20,646180000006704697,646180000008446872,64073.76,Pago factura INV-00251,SPEI
BNK-00056,2026-05-29,646180000006704697,646180000009159582,55400.44,Pago factura INV-00374,SPEI
BNK-00014,2026-04-17,646180000006704697,646180000007654979,56191.56,Pago factura INV-00222,SPEI
BNK-00126,2026-03-09,646180000006704697,646180000010980957,50767.40,Pago factura INV-00109,SPEI
BNK-00378,2026-01-12,646180000006704697,646180000006942268,29997.60,Pago factura INV-00330,SPEI
BNK-00329,2026-02-07,646180000006704697,646180000008367689,19469.44,Pago factura INV-00344,SPEI
BNK-00067,2026-02-26,646180000006704697,646180000008526064,97136.08,Pago factura INV-00123,SPEI
BNK-00368,2026-01-19,646180000006704697,646180000007021450,76011.32,Pago factura INV-00035,SPEI
BNK-00370,2026-02-28,646180000006704697,646180000008526064,18326.84,Pago factura INV-00154,SPEI
BNK-00080,2026-03-02,646180000006704697,646180000008526064,73508.04,Pago factura INV-00331,SPEI
BNK-00122,2026-05-13,646180000006704697,646180000007813354,99945.60,Pago factura INV-00152,SPEI
BNK-00130,2026-01-23,646180000006704697,646180000006942268,19998.40,Pago factura INV-00330,SPEI
BNK-00017,2026-04-14,646180000006704697,646180000008842829,39015.44,Pago factura INV-00231,SPEI
BNK-00221,2026-04-08,646180000006704697,646180000010030674,98652.20,Pago factura INV-00289,SPEI
BNK-00115,2026-01-24,646180000006704697,646180000007021450,21959.96,Pago factura INV-00145,SPEI
BNK-00214,2026-03-09,646180000006704697,646180000008605257,32195.80,Pago factura INV-00314,SPEI
BNK-00085,2026-05-04,646180000006704697,646180000007734161,53510.80,Pago factura INV-00161,SPEI
