emp_id,name,role,bank_clabe,hire_date
EMP:00000067-0002,Bruno Garcia 02 00000067,Finanzas,646180007925863078,2022-01-03
EMP:00000067-0003,Carla Soto 03 00000067,Operaciones,646180007925942261,2023-01-04
EMP:00000067-0004,Diego Luna 04 00000067,Contraloria,646180007926021453,2024-01-05
EMP:00000067-0008,Bruno Garcia 08 00000067,Operaciones,646180007926338214,2023-01-09
EMP:00000067-0009,Carla Soto 09 00000067,Contraloria,646180007926417407,2024-01-10
EMP:00000067-0006,Fabian Rios 06 00000067,Compras,646180007926179839,2021-01-07
EMP:00000067-0005,Elena Mora 05 00000067,Direccion,646180007926100646,2020-01-06
EMP:00000067-0010,Diego Luna 10 00000067,Direccion,646180007926496596,2020-01-11
EMP:00000067-0007,Ana Ruiz 07 00000067,Finanzas,646180007926259021,2022-01-08
EMP:00000067-0001,Ana Ruiz 01 00000067,Compras,646180007925783886,2021-01-02
