po_id,vendor_rfc,date,amount,requester,approver,description
PO-00121,DDE801119CII,2026-06-06,90306.00,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de logistica y entrega
PO-00098,DDU961119CQI,2026-06-12,76022.92,Elena Mora 05 00000067,Fabian Rios 06 00000067,Suministro de insumos de produccion
PO-00269,DDG820505CJI,2026-06-28,87825.92,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Soporte y licencias de tecnologia
PO-00280,DDN890226CMV,2026-03-28,95573.56,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de consultoria operativa
PO-00108,DCW721119CEI,2026-03-11,38430.80,Diego Luna 04 00000067,Elena Mora 05 00000067,Soporte y licencias de tecnologia
PO-00146,DDU961119CQI,2026-06-10,55061.72,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Suministro de insumos de produccion
PO-00112,DDM881119CMI,2026-03-19,13926.96,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Mantenimiento preventivo de instalaciones
PO-00215,DDQ921119COI,2026-04-27,92974.00,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Soporte y licencias de tecnologia
PO-00049,DDV970226CQV,2026-01-19,26100.00,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Soporte y licencias de tecnologia
PO-00078,DDI841119CKI,2026-02-03,57377.08,Diego Luna 04 00000067,Elena Mora 05 00000067,Servicios de consultoria operativa
PO-00008,DCD830226BUV,2026-02-01,38865.80,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Mantenimiento preventivo de instalaciones
PO-00294,DCJ890812BXV,2026-04-09,50668.80,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Servicios de consultoria operativa
PO-00064,DCB810812BTV,2026-01-13,44555.60,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Suministro de insumos de produccion
PO-00342,DCA800505BTI,2026-01-05,49996.00,Carla Soto 03 00000067,Diego Luna 04 00000067,Cuota mensual: servicios de logistica y entrega
PO-00003,DDM881119CMI,2026-03-16,23280.04,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Mantenimiento preventivo de instalaciones
PO-00195,DDC780505CHI,2026-05-17,24704.52,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Mantenimiento preventivo de instalaciones
PO-00142,DCM920505BZI,2026-05-15,58360.76,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00178,DDT950812CPV,2026-06-02,69294.92,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Servicios de logistica y entrega
PO-00089,DDJ850226CKV,2026-02-13,42501.24,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de logistica y entrega
PO-00026,DCP950226CAV,2026-06-18,105554.20,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de logistica y entrega
PO-00187,DDO900505CNI,2026-04-04,99190.44,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de logistica y entrega
PO-00236,DCW721119CEI,2026-03-09,51060.88,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Soporte y licencias de tecnologia
PO-00276,DDR930226COV,2026-05-11,66197.72,Carla Soto 09 00000067,Diego Luna 10 00000067,Mantenimiento preventivo de instalaciones
PO-00314,DCK901119BYI,2026-04-23,69380.76,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de logistica y entrega
PO-00082,DCV710812CDV,2026-03-01,40917.84,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Suministro de insumos de produccion
PO-00060,DED750226CUV,2026-04-07,49300.00,Bruno Garcia 08 00000067,Bruno Garcia 08 00000067,Licencia anual
PO-00001,DDS940505CPI,2026-05-20,29127.60,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Servicios de consultoria operativa
PO-00011,DCJ890812BXV,2026-04-13,91370.88,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de consultoria operativa
PO-00129,DDD790812CHV,2026-05-29,94058.60,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de consultoria operativa
PO-00229,DDF810226CIV,2026-06-18,66283.56,Carla Soto 03 00000067,Diego Luna 04 00000067,Suministro de insumos de produccion
PO-00171,DCV710812CDV,2026-02-28,48126.08,Carla Soto 03 00000067,Diego Luna 04 00000067,Suministro de insumos de produccion
PO-00075,DCH870226BWV,2026-03-21,101798.12,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Soporte y licencias de tecnologia
PO-00118,DDH830812CJV,2026-01-20,102766.72,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Mantenimiento preventivo de instalaciones
PO-00300,DCC821119BUI,2026-01-25,79892.68,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00360,DCD830226BUV,2026-02-05,45024.24,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Mantenimiento preventivo de instalaciones
PO-00068,DDL870812CLV,2026-03-04,23007.44,Carla Soto 09 00000067,Diego Luna 10 00000067,Soporte y licencias de tecnologia
PO-00193,DDP910812CNV,2026-04-17,30556.72,Carla Soto 03 00000067,Diego Luna 04 00000067,Suministro de insumos de produccion
PO-00305,DCN930812BZV,2026-05-27,21520.32,Carla Soto 03 00000067,Diego Luna 04 00000067,Mantenimiento preventivo de instalaciones
PO-00344,DDL870812CLV,2026-03-06,100427.00,Carla Soto 03 00000067,Diego Luna 04 00000067,Soporte y licencias de tecnologia
PO-00297,DDM881119CMI,2026-03-17,104438.28,Diego Luna 04 00000067,Elena Mora 05 00000067,Mantenimiento preventivo de instalaciones
PO-00208,DDE801119CII,2026-06-05,70312.24,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de logistica y entrega
PO-00228,DDN890226CMV,2026-03-27,74564.80,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de consultoria operativa
PO-00140,DDK860505CLI,2026-02-21,105027.56,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Suministro de insumos de produccion
PO-00299,DDR930226COV,2026-05-10,23704.60,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Mantenimiento preventivo de instalaciones
PO-00006,DCG861119BWI,2026-03-05,79217.56,Diego Luna 04 00000067,Elena Mora 05 00000067,Suministro de insumos de produccion
PO-00174,DDT950812CPV,2026-06-03,100069.72,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de logistica y entrega
PO-00047,DCR970812CBV,2026-01-13,41460.72,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00232,DCP950226CAV,2026-06-16,29203.00,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Servicios de logistica y entrega
PO-00337,DBZ790226BSV,2026-06-05,25292.64,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Cuota mensual: servicios de consultoria operativa
PO-00119,DDO900505CNI,2026-04-05,90150.56,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de logistica y entrega
PO-00206,DCS981119CCI,2026-01-27,50047.04,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Mantenimiento preventivo de instalaciones
PO-00022,DCF850812BVV,2026-02-26,69286.80,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Servicios de logistica y entrega
PO-00071,DDF810226CIV,2026-06-20,55570.96,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Suministro de insumos de produccion
PO-00268,DCA800505BTI,2026-06-05,49996.00,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Cuota mensual: servicios de logistica y entrega
PO-00209,DCV710812CDV,2026-03-02,47430.08,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Suministro de insumos de produccion
PO-00263,DCK901119BYI,2026-04-25,44782.96,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de logistica y entrega
PO-00275,DDB770226CGV,2026-05-07,35673.48,Carla Soto 03 00000067,Diego Luna 04 00000067,Soporte y licencias de tecnologia
PO-00316,DCC821119BUI,2026-01-26,14203.04,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Soporte y licencias de tecnologia
PO-00347,DCC821119BUI,2026-01-24,95898.36,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Soporte y licencias de tecnologia
PO-00090,DDE801119CII,2026-06-07,30903.56,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de logistica y entrega
PO-00283,DEB730812CTV,2026-03-31,87000.00,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de consultoria operativa
PO-00198,DCQ960505CBI,2026-06-25,55003.72,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Suministro de insumos de produccion
PO-00200,DDP910812CNV,2026-04-21,43909.48,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Suministro de insumos de produccion
PO-00343,DCB810812BTV,2026-01-10,105925.40,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Suministro de insumos de produccion
PO-00293,DDR930226COV,2026-05-09,86877.04,Elena Mora 05 00000067,Fabian Rios 06 00000067,Mantenimiento preventivo de instalaciones
PO-00159,DDT950812CPV,2026-06-04,34764.04,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de logistica y entrega
PO-00162,DCW721119CEI,2026-03-15,60955.68,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Soporte y licencias de tecnologia
PO-00217,DDO900505CNI,2026-04-09,19012.40,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de logistica y entrega
PO-00188,DDK860505CLI,2026-02-25,19501.92,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Suministro de insumos de produccion
PO-00023,DDE801119CII,2026-06-08,61554.24,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de logistica y entrega
PO-00041,DCY740505CFI,2026-03-31,103829.28,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de consultoria operativa
PO-00004,DDU961119CQI,2026-06-11,98124.40,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Suministro de insumos de produccion
PO-00289,DCT990226CCV,2026-02-10,64073.76,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de consultoria operativa
PO-00220,DBZ790226BSV,2026-05-05,25292.64,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Cuota mensual: servicios de consultoria operativa
PO-00251,DCU700505CDI,2026-02-17,22760.36,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de logistica y entrega
PO-00197,DCE840505BVI,2026-02-17,93016.92,Diego Luna 04 00000067,Elena Mora 05 00000067,Servicios de consultoria operativa
PO-00077,DDG820505CJI,2026-01-11,23720.84,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00028,DCI880505BXI,2026-03-30,32430.12,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Mantenimiento preventivo de instalaciones
PO-00183,DCU700505CDI,2026-02-18,18326.84,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de logistica y entrega
PO-00073,DCY740505CFI,2026-04-05,62345.36,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de consultoria operativa
PO-00213,DDT950812CPV,2026-06-01,65274.36,Diego Luna 04 00000067,Elena Mora 05 00000067,Servicios de logistica y entrega
PO-00235,DDD790812CHV,2026-05-28,66890.24,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de consultoria operativa
PO-00262,DCF850812BVV,2026-03-01,14348.04,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de logistica y entrega
PO-00356,DCH870226BWV,2026-03-18,58169.36,Carla Soto 09 00000067,Diego Luna 10 00000067,Soporte y licencias de tecnologia
PO-00368,DDV970226CQV,2026-06-21,25231.16,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Soporte y licencias de tecnologia
PO-00223,DCY740505CFI,2026-04-01,58303.92,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de consultoria operativa
PO-00315,DEC741119CUI,2026-04-03,69600.00,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Mantenimiento preventivo de instalaciones
PO-00282,DCE840505BVI,2026-02-13,32628.48,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Servicios de consultoria operativa
PO-00203,DCI880505BXI,2026-03-27,108432.16,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Mantenimiento preventivo de instalaciones
PO-00350,DBZ790226BSV,2026-02-05,25292.64,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Cuota mensual: servicios de consultoria operativa
PO-00131,DDA761119CGI,2026-04-24,83899.32,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Suministro de insumos de produccion
PO-00287,DCZ750812CFV,2026-04-16,61596.00,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de logistica y entrega
PO-00086,DDO900505CNI,2026-04-07,109194.28,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de logistica y entrega
PO-00306,DDG820505CJI,2026-06-29,108848.60,Diego Luna 04 00000067,Elena Mora 05 00000067,Soporte y licencias de tecnologia
PO-00107,DCD830226BUV,2026-02-07,75255.00,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Mantenimiento preventivo de instalaciones
PO-00358,DCP950226CAV,2026-06-14,16491.72,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de logistica y entrega
PO-00016,DCL910226BYV,2026-05-04,71534.88,Diego Luna 04 00000067,Elena Mora 05 00000067,Suministro de insumos de produccion
PO-00093,DDN890226CMV,2026-03-24,80084.08,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de consultoria operativa
